name,Boiling-Point,Melting-Point,Density,Dissociation Constants,Flash-Point
NIWZIE11_clean,102.8425925925926,4.007936507936509,0.0,0.0,64.0925925925926
FAHGAY_clean,,,,,
EREGOY_clean,,,,,
HOXSUK_clean,,,,,
MUPYIG_clean,,,,,
ZUTBUN_clean,277.51851851851853,42.21333333333333,0.0,0.0,
IYOVUO_clean,,359.0,,,
UDOVOA_clean,,,,,
MOLKAB_clean,0.0,427.0,0.0,0.0,260.0
OZUMAZ_clean,,,,,
XITYOP_clean,,,,,
EKOPIE_clean,0.0,346.3333333333333,0.0,0.0,
OKIWUB02_clean,,,,,
BEXVEH_clean,,,,,
XUMSOP_clean,,,,,
VIWLEU_clean,,276.0,,0.0,
TOLYOJ_clean,,,,,
FAPXIG_clean,,,,,
XENMOU_SL,,,,,
UJUPUM_clean,,,,,
AFITEP_clean,,,,,
LUFNAC02_clean,,,,,
LABKIL_clean,,,,,
MEJZIM_clean,,,,,
XIDBUJ_clean,0.0,174.65740740740742,0.0,0.0,
TETVIZ_clean,277.51851851851853,42.21333333333333,0.0,0.0,
HUYJOA_clean,0.0,7.0,0.0,,128.0
PUGHUW_clean,,,,,
LUMYUP_clean,,,,,
TIVFEK_clean,,,,,
KULZEY_clean,,,,,
MURBEI_clean,,,,,
FUFREE_clean,,,,,
WEJSAH_clean,0.0,280.0,0.0,0.0,250.0
MAXHOK_clean,0.0,0.0,,,
VUKTOM_clean,,,,,
PUGJEI_clean,,,,,
OSUVIJ_clean,,,,,
YEMLOS_clean,,,,,
QUSCEN_clean,,,,,
BOVHEB_clean,,,,,
KOMJED_clean,,148.0,,,
IZIHOQ_clean,,,,,
MIHLAR_clean,,,,,
LIDZOP_clean,,,,,
ZEDHIB_clean,0.0,346.3333333333333,0.0,0.0,
SETQAL_clean,0.0,427.0,0.0,0.0,260.0
FIJDIM03_clean,0.0,427.0,0.0,0.0,260.0
EPECIN_clean,,,,,
MOLRIP_clean,,,,,
RUWXEN_clean,,,,,
GEGHAD_clean,,,,,
WUSGIC_clean,0.0,174.65740740740742,0.0,0.0,
EKOPOK_clean,,293.0,,,
CUNQUZ_clean,0.0,174.65740740740742,0.0,0.0,
MUPYUS_clean,,,,,
CANYIB_clean,,,,,
BEKSAM_clean,277.51851851851853,42.21333333333333,0.0,0.0,
ENOVAG_clean,,,,,
LECFAC_clean,,,,,
HUWDEJ_clean,,,,,
FIZPOV_clean,,,,,
UFEXIN_clean,,,,,
POHMAC_clean,,,,,
AWEZOS_clean,,,,,
DUGBAJ_clean,,252.0,,,
MAXHIE_clean,0.0,0.0,,,
LEGGIO_clean,260.0,0.0,0.0,,170.0
DOKBUC_clean,,,,,
GUXSEY_clean,,254.0,,,
RUVMUR_clean,,219.0,,,
OFOCUI_clean,,,,,
ALANAD_clean,,,,,
HASNUN_clean,0.0,174.65740740740742,0.0,0.0,
ACAJIZ_clean,251.5,97.10000000000001,0.0,0.0,
KEGYAX_clean,,,,,
VEDGIW_clean,,315.0,,0.0,
WIPLOY_clean,,,,,
XALTOV_clean,,,,,
ADODAA_charged,,,,,
ZASTUK_clean,,,,,
LUSHOX04_clean,0.0,427.0,0.0,0.0,260.0
HIFTOG01_clean,0.0,427.0,0.0,0.0,260.0
YAPYUK_clean,,,,,
GUPNUC01_clean,,,,,
