name,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,0ASA_m2_cm3,0ASA_m2_g,AV_VF,AV_cm3_g,0AV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites,FSR_overlap
AWEXUX_clean,6.83308,6.12106,6.83308,1.18929,1052.76,885.204,0,0,0.5126,0.431015,0,Zn,1,Zn,1
AWE1AE_clean,6.57416,5.03625,6.57416,1.28148,887.638,692.666,0,0,0.4656,0.363329,0,Zn,1,Zn,1
AWEZOS_clean,5.8274,3.41984,5.8274,1.53516,283.608,184.741,30.6343,19.9551,0.4216,0.274629,0,Cu,1,Cu,1
AWEZOS01_clean,5.84706,3.42755,5.84706,1.53516,287.064,186.993,30.7793,20.0495,0.4222,0.27502,0,Cu,1,Cu,1
AWIBAK_clean,5.84822,3.40416,5.84822,1.53516,287.757,187.444,30.381,19.7901,0.4208,0.274108,0,Cu,1,Cu,1
AWIBAL_clean,4.9496,4.4506,4.9496,1.68807,1040.45,616.352,0,0,0.482,0.285533,0,Lu,1,Lu,1
AWIBEO_clean,5.87793,3.52185,5.87695,1.56801,309.299,197.256,17.3334,11.0544,0.4132,0.263519,0,Cu,1,Cu,1
AWIBIS_clean,5.87895,3.53481,5.87895,1.56101,324.784,208.06,18.8769,12.0927,0.4176,0.267519,0,Cu,1,Cu,1
AWOKED_clean,4.16243,2.78956,4.13231,1.96571,0,0,192.187,97.77,0.4238,0.215596,0,"Ag,Sm",1,"Ag,Sm",1
AWU0OX_clean,18.44931,9.28498,16.50109,0.362432,1767.63,4877.13,0,0,0.8494,2.34361,0,"In,Fe",0," ",1
AWU0UD_clean,17.2872,8.80996,17.2872,0.383391,1836.9,4791.21,0,0,0.842,2.19619,0,"In,Mn",0," ",1
AWUPAL_clean,18.42063,9.23563,18.42063,0.348553,1743.14,5001.08,0,0,0.8538,2.44956,0,"In,Fe",1,Fe,1
AWUPOZ_clean,18.42385,9.2554,18.42385,0.353418,1737.36,4915.87,0,0,0.8534,2.41471,0,"In,Mn",1,Mn,1
